County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Anne Arundel,78619,Family Childcare,Donna Novak,Glen Burnie,21060,Yes,1,Active,1,2,Nov 11 2022,Nov 11 2023,Oct 03 2014,,,
Harford,78314,Center,Childtime Children's Center # 823,Bel Air,21014,Yes,1,Active,1,3,Jul 26 2022,Jul 26 2023,Jun 12 2015,,,NECPA
Harford,78312,Center,Childtime Children's Center #824,Belcamp,21017,Yes,1,Active,1,3,Dec 09 2022,Dec 09 2023,Aug 23 2014,,,NECPA
Harford,78199,LOC,Good Shepherd Lutheran Preschool,Bel Air,21014,Yes,3,Active,3,3,Mar 31 2022,Mar 31 2023,Dec 16 2013,,,
Baltimore City,78141,LOC,St.Francis of Assisi ASCP,Baltimore,21218,Yes,5,Active,5,3,Sep 20 2022,Sep 20 2023,Mar 06 2015,,,AdvancED
Washington,78126,Center,Gateway Learning Center,Williamsport,21795,Yes,3,Active,3,3,Feb 07 2022,Feb 07 2023,Jan 26 2016,,,
Baltimore,77989,Family Childcare,Susan Pilcher,Baltimore,21228,Yes,1,Active,1,2,Aug 17 2022,Aug 17 2023,Jul 14 2014,,,
Baltimore City,77644,Family Childcare,Ernestine Carter,Baltimore,21213,Yes,2,Active,2,2,Jan 19 2022,Jan 19 2023,Dec 27 2013,,,No Additional Staff
Talbot,77299,Center,Creative Corner,Easton,21601,Yes,3,Active,3,3,Jan 19 2022,Jan 19 2023,Nov 27 2012,,,
Frederick,77213,Family Childcare,Sheri Yarborough,Frederick,21702,Yes,1,Active,1,2,Dec 05 2022,Dec 05 2023,Oct 20 2014,,,
Baltimore,77001,Family Childcare,Cheryl Abbott,Baltimore,21207,Yes,1,Active,1,2,Apr 21 2022,Apr 21 2023,Oct 03 2014,,,
Baltimore City,76935,Family Childcare,Rochelle Wilson,Baltimore,21213,Yes,1,Active,1,2,Aug 11 2022,Aug 11 2023,Mar 28 2014,,,
Prince George's,76872,Family Childcare,Gloria Oliver,Clinton,20735,Yes,1,Active,1,2,Mar 23 2022,Mar 23 2023,Mar 28 2014,,,No Additional Staff
Howard,76775,Center,Childtime Children's Center,Columbia,21045,Yes,1,Active,1,3,Sep 23 2022,Sep 23 2023,Jan 24 2014,,,
Frederick,76754,Center,La Petite Child  Care Center,Frederick,21701,Yes,1,Active,1,3,Sep 09 2022,Sep 09 2023,Mar 28 2014,,,NECPA
Baltimore City,76688,Center,Catholic Charities Head Start Baltimore City @ Sterrett Street,Baltimore,21230,Yes,2,Active,2,3,Jul 08 2022,Jul 08 2023,Aug 09 2013,,,MSDE
Baltimore,76642,Family Childcare,Mary Ann Sokolis,Perry Hall,21128,Yes,0,Inactive,1,2,Jan 13 2020,Dec 01 2022,Jan 17 2015,,,
Howard,76510,Center,KinderCare-301533,Elkridge,21075,Yes,1,Active,1,3,Dec 01 2022,Dec 01 2023,Apr 25 2014,,,National Association for the Education of Young Children (NAEYC)
Talbot,76429,Family Childcare,Susan Guffey,Easton,21601,Yes,1,Active,1,2,Aug 03 2022,Aug 03 2023,Mar 11 2014,,,
Baltimore City,76054,Family Childcare,Tonya Roberson,Baltimore,21206,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Jun 12 2015,,,
Howard,76037,Center,Triadelphia Ridge Extended Recreation Program,Ellicott City,21042,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Mar 11 2014,,,
Howard,76036,Center,Gorman Crossing Extended Recreation Program,Laurel,20723,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Jul 14 2014,,,
Baltimore City,76020,Family Childcare,Delores Almond,Baltimore,21224,Yes,1,Active,1,2,Jul 28 2022,Jul 28 2023,May 29 2015,,,
Baltimore City,75797,Family Childcare,Dorothy Hall,Baltimore,21213,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Jan 24 2014,,,
Prince George's,75602,Center,NARA Child Care Center,College Park,20740,Yes,1,Active,1,3,Nov 30 2022,Nov 30 2023,Dec 04 2012,Health and Wellness  | Accredited Program,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,75261,Family Childcare,Dawn Hollenczer,Odenton,21113,Yes,5,Active,5,2,Apr 06 2022,Apr 06 2023,Nov 27 2012,Health and Wellness  | Quality Business Practices,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2024-06-24
Baltimore,75258,Family Childcare,Aletheia McCaskill,Baltimore,21207,Yes,5,Active,5,2,Apr 14 2022,Apr 14 2023,Aug 22 2013,,,NAFCC  | NAFCC - National Association for Family Child Care 2025-07-01
Harford,75195,Family Childcare,Willa Pointer,Edgewood,21040,Yes,1,Active,1,2,Nov 28 2022,Nov 28 2023,Jul 03 2014,,,
Montgomery,75182,Family Childcare,Rhonda Roberts,Ashton,20861,Yes,1,Active,1,2,Apr 28 2022,Apr 28 2023,Dec 11 2015,,,
Howard,75181,Family Childcare,Deena Kinnaman,Laurel,20723,Yes,1,Active,1,2,Sep 06 2022,Sep 06 2023,Nov 27 2012,,,No Additional Staff
Carroll,75164,Center,Little Friends Day Care,New Windsor,21776,Yes,0,Inactive,1,3,Aug 23 2019,Sep 07 2022,Sep 28 2013,,,
Harford,75043,LOC,St. Matthew Preschool,Bel Air,21014,Yes,1,Active,1,3,Nov 03 2022,Nov 03 2023,Jul 01 2013,,,
Washington,74929,Family Childcare,Cheryl Petty,Hagerstown,21740,Yes,1,Active,1,2,Oct 14 2022,Oct 14 2023,Sep 10 2013,,,
Montgomery,74869,Family Childcare,Teresa Sanchez,Rockville,20853,Yes,3,Active,3,2,Jun 15 2022,Jun 15 2023,Sep 06 2018,,,No Additional Staff
Frederick,74777,Center,Jefferson Stepping Stone Center,Jefferson,21755,Yes,2,Active,2,3,Dec 22 2022,Dec 22 2023,Nov 22 2013,,,
Frederick,74042,Center,Childrens Center For Discovery Monrovia,Monrovia,21770,Yes,1,Active,1,3,May 30 2022,May 30 2023,Mar 20 2015,,,
Howard,73968,Family Childcare,Djuana Livingstone,Columbia,21045,Yes,2,Active,2,2,Jun 03 2022,Jun 03 2023,Nov 22 2013,,,No Additional Staff
Calvert,73916,Family Childcare,Mary Joachim,Owings,20736,Yes,5,Active,5,2,May 18 2022,May 18 2023,Jul 01 2013,Health and Wellness,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2025-07-01
Baltimore,73413,Family Childcare,Carolyn White,Baltimore,21207,Yes,4,Active,4,2,Nov 16 2022,Nov 16 2023,Jul 09 2014,,,No Additional Staff
Prince George's,73320,Family Childcare,Pamela Hammond,Laurel,20708,Yes,1,Active,1,2,May 04 2022,May 04 2023,Aug 23 2014,,,
Prince George's,73279,Center,Marlow Heights Community Center After Care Program/Special Population,Marlow Heights,20748,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Jun 12 2015,,,
Charles,73087,Family Childcare,Renee Locker,Waldorf,20602,Yes,1,Active,1,2,Apr 08 2022,Apr 08 2023,Feb 10 2017,,,
Prince George's,72969,Family Childcare,Joyce Norfleet,Mitchellville,20721,Yes,1,Active,1,2,Aug 11 2022,Aug 11 2023,May 29 2015,,,No Additional Staff
Montgomery,72717,Family Childcare,Maria-Luz Bolo,Silver Spring,20901,Yes,5,Active,5,2,Mar 24 2022,Mar 24 2023,Aug 09 2013,,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2025-07-01
Caroline,72708,Center,Caroline County Family Support Center,Denton,21629,Yes,5,Active,5,3,Jun 08 2022,Jun 08 2023,Dec 04 2012,,,MSDE
Prince George's,72641,Center,Beltsville Community Center SACCP,Beltsville,20705,Yes,1,Active,1,2,Oct 04 2022,Oct 04 2023,Jun 26 2015,,,
Calvert,72429,Family Childcare,Vicki Stinnett,Owings,20736,Yes,1,Active,1,2,Apr 08 2022,Apr 08 2023,Nov 26 2014,,,
Montgomery,72199,Center,Care A Lot Child Care Center,North Potomac,20878,Yes,0,Inactive,5,3,Feb 20 2020,Jan 26 2022,Nov 27 2012,,,National Association for the Education of Young Children (NAEYC)
Baltimore,71692,Center,Halethorpe Elementary School Before and After Child Care,Baltimore,21227,Yes,1,Active,1,2,Dec 12 2022,Dec 12 2023,Jun 12 2015,,,
Baltimore City,71269,Center,Joshua's Place,Baltimore,21215,Yes,3,Active,3,3,Nov 08 2022,Nov 08 2023,Nov 27 2012,,,
Montgomery,71228,LOC,Bradley Hills Presbyterian NS,Bethesda,20817,Yes,1,Active,1,3,Jun 08 2022,Jun 08 2023,Aug 07 2015,,,
Baltimore,71208,Center,White Marsh Tiny Tots @ Joppa View,White Marsh,21128,Yes,1,Active,1,3,Feb 15 2022,Feb 15 2023,Jul 03 2013,,,
Prince George's,71011,Center,Shadyside Day Care Center,Suitland,20746,Yes,1,Active,1,3,May 18 2022,May 18 2023,Dec 27 2013,,,
Anne Arundel,255773,Center,YMCA at Jessup Elementary,Jessup,20794,Yes,1,Active,1,2,May 19 2022,May 19 2023,Aug 23 2014,,,
Anne Arundel,256915,Center,YMCA at Richard Henry Lee ES,Glen Burnie,21061,Yes,1,Active,1,2,Oct 19 2022,Oct 19 2023,Aug 23 2014,,,
Prince George's,70927,Center,Rollingcrest-Chillum Community Center,Chillum,20782,Yes,1,Active,1,2,Oct 05 2022,Oct 05 2023,Jul 25 2015,,,MSDE
Frederick,70859,Center,Church of the Brethren Learning  Center,Frederick,21701,Yes,4,Active,4,3,Sep 08 2022,Sep 08 2023,Sep 28 2013,,,MSDE 2023-04-30
Baltimore,70792,Center,The Childcare Learning Center at Hernwood Elementary School,Randallstown,21133,Yes,1,Active,1,3,Sep 27 2022,Sep 27 2023,Jan 10 2014,,,
Baltimore City,70742,Family Childcare,Gwendolyn Mccloud-Neal,Baltimore,21239,Yes,1,Active,1,2,Apr 19 2022,Apr 19 2023,Mar 20 2015,,,
Baltimore,70703,Center,Essex Recreation Child Care,Baltimore,21221,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Nov 26 2014,,,
Baltimore,70635,Center,Trinity Episcopal Preschool,Towson,21204,Yes,2,Active,2,3,Dec 19 2022,Dec 19 2023,Nov 08 2013,,,MSDE
Howard,70621,Family Childcare,Shamim Vohra,Laurel,20723,Yes,0,Inactive,1,2,Oct 29 2019,Sep 07 2022,Aug 05 2016,,,
Montgomery,70507,Center,Bar-T at Stedwick Elementary School,Montgomery Village,20886,Yes,3,Active,3,2,May 12 2022,May 12 2023,Jan 27 2014,,,
Anne Arundel,70473,Center,Solley Elementary School Age Child Care,Glen Burnie,21060,Yes,3,Active,3,2,Nov 14 2022,Nov 14 2023,Jan 24 2014,Health and Wellness,,
Baltimore,70467,Center,Church Lane Elem AM/PM Care,Randallstown,21133,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Aug 21 2015,,,
Anne Arundel,70466,Center,South Shore ES SACC,Crownsville,21032,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Montgomery,70442,Family Childcare,Martha Robles,Silver Spring,20902,Yes,0,Inactive,1,2,Oct 27 2020,Oct 05 2022,Apr 17 2015,,,
Howard,70419,Center,Fulton Extended Recreation Program,Fulton,20759,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Jul 09 2014,,,
Howard,70418,Center,Hollifield Station Ext Rec,Ellicott City,21043,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Mar 11 2014,,,
Baltimore City,70376,Family Childcare,Robin Hursey-White,Baltimore,21206,Yes,3,Active,3,2,May 11 2022,May 11 2023,Dec 16 2013,,,No Additional Staff
Baltimore City,70373,Family Childcare,Jeannette Spears,Baltimore,21223,Yes,1,Active,1,2,Nov 08 2022,Nov 08 2023,Nov 15 2013,,,No Additional Staff
Carroll,70297,Center,Little Friends of Grace,Westminster,21157,Yes,1,Active,1,3,May 05 2022,May 05 2023,Dec 16 2013,,,
Prince George's,70270,Center,Beltsville Community Center Pre-School,Beltsville,20705,Yes,1,Active,1,3,Oct 04 2022,Oct 04 2023,Jun 26 2015,,,
Baltimore City,70269,Family Childcare,Denise McNeal,Baltimore,21225,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Aug 09 2013,,,
Prince George's,70266,Center,Parkview Child Development Center,Landover,20785,Yes,2,Active,2,3,Oct 06 2022,Oct 06 2023,Jul 01 2013,,,
Frederick,70223,Center,Celebree Learning Center,Frederick,21703,Yes,3,Active,3,3,Jun 21 2022,Jun 21 2023,Mar 06 2015,,,
Charles,70093,Family Childcare,Deanne Bader,Waldorf,20603,Yes,1,Active,1,2,Jun 14 2022,Jun 14 2023,Feb 20 2015,,,
Harford,70088,Center,Celebree Learning Center - Bel Air,Bel Air,21014,Yes,5,Active,5,3,Jul 19 2022,Jul 19 2023,Jul 01 2013,,,MSDE 2023-04-30
Montgomery,69813,Center,S.H.I.N.E. Before and After School Program,Silver Spring,20905,Yes,1,Active,1,2,Dec 20 2022,Dec 20 2023,Jan 27 2017,,,
Montgomery,69738,Center,Kids After Hours at Highland View Elementary School,Silver Spring,20901,Yes,3,Active,3,2,Jan 25 2022,Jan 25 2023,Mar 28 2014,,,
Baltimore,69565,Center,Zoned for Kids at Towson,Towson,21286,Yes,2,Active,2,3,Oct 20 2022,Oct 20 2023,Jan 04 2013,,,
Baltimore City,69409,Family Childcare,Betty Clark,Baltimore,21239,Yes,1,Active,1,2,Feb 02 2022,Feb 02 2023,Nov 22 2013,,,No Additional Staff
Baltimore City,69185,Family Childcare,Angela Payne,Baltimore,21206,Yes,1,Active,1,2,Mar 16 2022,Mar 16 2023,Jul 14 2014,,,
Prince George's,69151,Family Childcare,Aneela Tanveer,Mitchellville,20721,Yes,1,Active,1,2,Jul 21 2022,Jul 21 2023,Dec 02 2013,,,No Additional Staff
Washington,68969,Center,Trinity Learning Center,Smithsburg,21783,Yes,3,Active,3,3,Sep 20 2022,Sep 20 2023,Aug 22 2013,,,
Anne Arundel,68940,Family Childcare,Darlene Colbert-Richardson,Annapolis,21401,Yes,1,Active,1,2,Jun 29 2022,Jun 29 2023,Jul 14 2014,,,
Anne Arundel,68851,Family Childcare,Regina Smith,Baltimore,21225,Yes,1,Active,1,2,Aug 08 2022,Aug 08 2023,Aug 22 2013,,,No Additional Staff
Prince George's,68818,Family Childcare,Cheryl-Ann Cunningham,Hyattsville,20783,Yes,1,Active,1,2,Apr 14 2022,Apr 14 2023,May 13 2015,,,
Prince George's,68478,Family Childcare,Louish Thomas,Adelphi,20783,Yes,3,Active,3,2,Aug 17 2022,Aug 17 2023,Jun 26 2015,,,No Additional Staff
Harford,68435,Center,HCC Early Learning Center,Bel Air,21015,Yes,3,Active,3,3,May 18 2022,May 18 2023,Jul 01 2013,,,
Wicomico,68419,Family Childcare,Cheryl Thomsen,Salisbury,21804,Yes,3,Active,3,2,Aug 09 2022,Aug 09 2023,Mar 27 2012,,,No Additional Staff
Anne Arundel,68304,Center,Nichols-Bethel United Methodist  Preschool,Odenton,21113,Yes,1,Active,1,3,Jul 13 2022,Jul 13 2023,Oct 20 2014,,,
Baltimore,68303,Family Childcare,Dorothy Allen,Owings Mills,21117,Yes,1,Active,1,2,Sep 13 2022,Sep 13 2023,Mar 28 2014,,,
Carroll,68220,Center,"Deb's Place, Inc.",Eldersburg,21784,Yes,1,Active,1,3,May 18 2022,May 18 2023,May 06 2015,,,
Prince George's,68063,Family Childcare,Marcia Jefferson,Mitchellville,20721,Yes,1,Active,1,2,Nov 14 2022,Nov 14 2023,Oct 04 2014,,,
Harford,67972,LOC,Tiny Tot School,Bel Air,21014,Yes,3,Active,3,3,Feb 07 2022,Feb 07 2023,Jul 01 2013,,,
Anne Arundel,67732,Family Childcare,Flor Figlia,Baltimore,21226,Yes,0,Inactive,1,2,Sep 02 2021,Sep 02 2022,Jul 21 2017,,,
Talbot,67609,LOC,Presbyterian Church Nursery School,Easton,21601,Yes,1,Active,1,3,Nov 10 2022,Nov 10 2023,Apr 17 2015,,,
Frederick,66950,Center,Kemptown Elementary Before and After School Enrichment,Monrovia,21770,Yes,1,Active,1,2,Jul 21 2022,Jul 21 2023,Mar 11 2014,,,
Frederick,66946,Center,Walkersville Elementary Before and After School Enrichment,Walkersville,21793,Yes,1,Active,1,2,Jan 25 2022,Jan 25 2023,Mar 11 2014,,,
Frederick,66944,Center,Glade Elementary Before and After School Enrichment,Walkersville,21793,Yes,1,Active,1,2,Oct 17 2022,Oct 17 2023,Mar 11 2014,,,
Frederick,66941,Center,Parkway Elementary Before and After School Enrichment,Frederick,21701,Yes,1,Active,1,2,Jul 21 2022,Jul 21 2023,Mar 11 2014,,,
Montgomery,256221,Center,Kids Villa Learning Center Germantown,Germantown,20876,Yes,4,Active,4,3,May 19 2022,May 19 2023,Aug 23 2014,,,MSDE
Wicomico,66762,Center,"Bundles Of Joy University, Inc. -  Salisbury Campus",Salisbury,21804,Yes,5,Active,5,3,May 03 2022,May 03 2023,Dec 03 2012,,,MSDE
Anne Arundel,66092,Family Childcare,Sharon Owens,Severn,21144,Yes,1,Active,1,2,Nov 16 2022,Nov 16 2023,Feb 11 2014,,,No Additional Staff
Wicomico,66039,Family Childcare,Ronette Downing,Willards,21874,Yes,1,Active,1,2,Jul 29 2022,Jul 29 2023,Dec 27 2013,,,No Additional Staff
Prince George's,65794,Center,Jaycees Child Care Center,Fort Washington,20744,Yes,4,Active,4,3,Dec 01 2022,Dec 01 2023,Jul 03 2013,Accredited Program 2025-10-31,,NECPA
Montgomery,65750,Family Childcare,Salamatu Abdullah (Abdou),Gaithersburg,20879,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Apr 17 2015,,,No Additional Staff
Montgomery,65371,Center,The Children in the Shoe-BCC,Bethesda,20814,Yes,3,Active,3,3,Jul 25 2022,Jul 25 2023,Jul 10 2015,,,
Baltimore,65100,Family Childcare,Carmen Kitchen,Baltimore,21227,Yes,1,Active,1,2,Aug 01 2022,Aug 01 2023,May 13 2016,,,
Baltimore,65084,Center,First Foundations Learning Center-303811,Baltimore,21244,Yes,2,Active,2,3,Sep 01 2022,Sep 01 2023,Jul 09 2014,,National Association for the Education of Young Children (NAEYC) 2026-12-01,National Association for the Education of Young Children (NAEYC)
Montgomery,64789,Center,Just Us Kids Child Care Center,Gaithersburg,20879,Yes,3,Active,3,3,Oct 28 2022,Oct 28 2023,Jan 24 2014,,,
Frederick,64677,Center,Christ Church Childrens Center,Middletown,21769,Yes,1,Active,1,3,Aug 11 2022,Aug 11 2023,Mar 08 2018,,,
Baltimore,64561,Family Childcare,Dorisha Johnson,Randallstown,21133,Yes,5,Active,5,2,Nov 23 2022,Nov 23 2023,Dec 02 2013,,,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-11-01
Montgomery,64300,Center,Childway,Burtonsville,20866,Yes,3,Active,3,3,Feb 02 2022,Feb 02 2023,Jul 08 2013,,,
Prince George's,64191,Center,Harmony Hall Play School,Fort Washington,20744,Yes,1,Active,1,3,Sep 08 2022,Sep 08 2023,Jul 10 2015,,,
Prince George's,64189,Center,Upper Marlboro Community Pre-School,Upper Marlboro,20772,Yes,1,Active,1,3,Jun 17 2022,Jun 17 2023,Jan 10 2018,,,
Howard,256280,Center,The Goddard School,Columbia,21046,Yes,1,Active,1,3,Oct 24 2022,Oct 24 2023,Dec 03 2012,Accredited Program,,MSDE
Baltimore,64102,Family Childcare,Patricia Brown,Baltimore,21244,Yes,1,Active,1,2,Feb 02 2022,Feb 02 2023,Dec 16 2013,,,
Montgomery,63842,Center,Bar-T at  Whetstone Elementary School,Montgomery Village,20886,Yes,3,Active,3,2,May 12 2022,May 12 2023,Nov 22 2013,,,
Queen Anne's,63784,Center,Queen Anne's County Head Start,Grasonville,21638,Yes,5,Active,5,3,Jul 18 2022,Jul 18 2023,Nov 23 2013,,,MSDE
Montgomery,63740,Center,Acorn Hill Waldorf Kindergarten and Nursery,Silver Spring,20901,Yes,1,Active,1,3,Jan 20 2022,Jan 20 2023,Jun 26 2015,,,MSDE
Calvert,63537,Center,Windy Hill Elementary Before and After School Program,Owings,20736,Yes,3,Active,3,2,Dec 06 2022,Dec 06 2023,Jul 28 2014,,,
Anne Arundel,63505,LOC,St Philip Neri Ext Day,Linthicum,21090,Yes,5,Active,5,3,Nov 03 2022,Nov 03 2023,Jul 28 2017,,,AdvancED
Baltimore City,63000,Family Childcare,Jacqueline Allister,Baltimore,21224,Yes,2,Active,2,2,Jun 24 2022,Jun 24 2023,Sep 28 2013,,,No Additional Staff
Prince George's,62956,Family Childcare,Judy Telfer,Hyattsville,20781,Yes,1,Active,1,2,Aug 02 2022,Aug 02 2023,May 12 2014,,,
Calvert,62674,Center,Prime Time Youth Activity Center,Owings,20736,Yes,5,Active,5,3,Nov 02 2022,Nov 02 2023,Jul 01 2013,Health and Wellness  | Quality Business Practices  | Accredited Program,National Accreditation Commission (NAC) 2026-01-17,NAC
Anne Arundel,62631,Family Childcare,Cynthia Palmer,Glen Burnie,21061,Yes,1,Active,1,2,Jul 21 2022,Jul 21 2023,Dec 09 2016,,,No Additional Staff
Calvert,62599,Center,Mount Harmony Elementary Before and After School Program,Owings,20736,Yes,3,Active,3,2,Dec 19 2022,Dec 19 2023,Jul 14 2014,,,
Anne Arundel,62567,LOC,Faith Baptist Child Development Center,Glen Burnie,21060,Yes,1,Active,1,3,Oct 19 2022,Oct 19 2023,May 01 2015,,,
Baltimore,62464,Center,Y of Central Maryland Baltimore County Head Start Riverview,Baltimore,21227,Yes,3,Active,5,3,Apr 15 2022,Apr 15 2023,May 12 2014,,,
Cecil,62302,Center,YMCA of Cecil County,Elkton,21921,Yes,1,Active,1,3,Dec 16 2022,Dec 16 2023,Oct 20 2014,,,
Somerset,62252,Center,UMES Child & Family Development Center,Princess Anne,21853,Yes,2,Active,2,3,Dec 07 2022,Dec 07 2023,Oct 11 2013,,,
Prince George's,61841,Center,Mother's Love Child Care Center,Suitland,20746,Yes,1,Active,1,3,Feb 09 2022,Feb 09 2023,Jan 17 2015,,,
Caroline,61758,Center,MRDC Head Start Greensboro,Greensboro,21639,Yes,3,Active,3,3,Jan 25 2022,Jan 25 2023,Sep 10 2013,,,
Harford,61415,Family Childcare,Victoria Cover,Joppa,21085,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Jul 14 2014,,,
Baltimore City,61402,Center,Fitness Fun & Games/Garrett Heights,Baltimore,21214,Yes,3,Active,3,2,May 12 2022,May 12 2023,Dec 16 2013,,,
Frederick,61291,Center,Orchard Grove Elementary Before and After School Enrichment,Frederick,21703,Yes,1,Active,1,2,Aug 17 2022,Aug 17 2023,Mar 11 2014,,,
Baltimore,60952,Center,Kinder Care Learning Center-301502,Owings Mills,21117,Yes,4,Active,4,3,Oct 31 2022,Oct 31 2023,Oct 04 2014,,,National Association for the Education of Young Children (NAEYC)
Howard,60931,Center,Ilchester Extended Recreation Program,Ellicott City,21043,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Oct 04 2014,,,
Anne Arundel,60914,Center,Hilltop Elem School Age Child Care,Glen Burnie,21061,Yes,3,Active,3,2,May 18 2022,May 18 2023,Mar 11 2014,Health and Wellness,,
Montgomery,60822,Center,Kids After Hours at Fairland,Silver Spring,20905,Yes,3,Active,3,2,Jul 22 2022,Jul 22 2023,Mar 28 2014,,,
Montgomery,60784,Center,Kinder Care Learning Center - 301511,Rockville,20855,Yes,3,Active,3,3,Jan 21 2022,Jan 21 2023,May 12 2014,,,National Association for the Education of Young Children (NAEYC)
Prince George's,60704,Family Childcare,Cheri Seward,Oxon Hill,20745,Yes,1,Active,1,2,Jul 08 2022,Jul 08 2023,Jul 08 2014,,,
Prince George's,60642,Family Childcare,Vivian Loftin,Mitchellville,20721,Yes,3,Active,3,2,Mar 31 2022,Mar 31 2023,Jul 14 2014,,,No Additional Staff
Charles,60640,Family Childcare,Barbara Farmer,Waldorf,20601,Yes,5,Active,5,2,May 27 2022,May 27 2023,Jul 01 2013,,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-01-31
Montgomery,60587,Family Childcare,Smita Thakkar,Gaithersburg,20878,Yes,1,Active,1,2,Aug 09 2022,Aug 09 2023,Nov 27 2012,,,
Charles,60552,Family Childcare,Carla Adams,Welcome,20693,Yes,1,Active,1,2,Aug 22 2022,Aug 22 2023,May 29 2015,,,
Montgomery,60517,Center,Bright Eyes Child Care Center,Damascus,20872,Yes,3,Active,1,3,Apr 08 2022,Apr 08 2023,Jul 28 2014,,,MSDE
Montgomery,60385,Family Childcare,Farida Ally,Silver Spring,20904,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Jul 14 2014,,,
Baltimore City,60321,Family Childcare,Kimberly Sydnor,Baltimore,21202,Yes,2,Active,2,2,Apr 14 2022,Apr 14 2023,Jul 01 2013,,,No Additional Staff
Montgomery,60259,Family Childcare,Keisha Hester,Silver Spring,20902,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Jun 12 2015,,,No Additional Staff
Baltimore City,60255,Family Childcare,Cheryl Murray,Baltimore,21223,Yes,2,Active,2,2,Jul 08 2022,Jul 08 2023,Jul 28 2014,,,No Additional Staff
Montgomery,60043,Family Childcare,Mary Murphy,Germantown,20876,Yes,1,Active,1,2,Jun 23 2022,Jun 23 2023,Apr 15 2016,,,
Baltimore City,60040,Family Childcare,Kisha Hopson,Baltimore,21223,Yes,3,Active,3,2,May 11 2022,May 11 2023,Dec 04 2012,Accredited Program 2024-06-24,,NAFCC  | NAFCC - National Association for Family Child Care 2024-06-24 | No Additional Staff
