County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Prince George's,106267,Registered Family Home,Diyale McLane,Forestville,20747,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 29 2020,0,,,,
Baltimore,106145,Registered Family Home,Gwendolyn Thomas,Baltimore,21237,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 04 2020,0,,,,
Baltimore,106135,Registered Family Home,Garnetta Jobe,Baltimore,21244,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 09 2020,0,,,,
Prince George's,106108,Registered Family Home,Roseta Young,Capitol Heights,20743,Yes,1,Yes,1,Yes,2,Dec 14 2018,Nov 21 2020,0,,,,
Baltimore,106094,Center,Randallstown Kid's Child Care Center,Randallstown,21133,Yes,1,Yes,1,No,3,Jan 05 2019,Nov 26 2020,0,,,,
Howard,106061,Center,Childtime Children's Center,Ellicott City,21043,Yes,3,Yes,3,Yes,3,Jan 04 2019,Dec 22 2020,0,,,,NECPA
Montgomery,106049,Center,Wonders Extended Day at Chevy Chase,Chevy Chase,20815,Yes,3,Yes,3,Yes,1,Feb 05 2019,Dec 17 2020,0,,,,
Baltimore City,106047,Registered Family Home,Kimberly Day,Baltimore,21212,Yes,3,Yes,3,Yes,2,Oct 25 2018,Sep 25 2020,0,,,,
Montgomery,105929,Registered Family Home,Razia Arthur,Germantown,20874,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 08 2020,0,,,,
Washington,105851,Center,YMCA-Salem Avenue Elementary,Hagerstown,21740,Yes,2,Yes,2,Yes,1,Oct 25 2018,Oct 09 2020,0,,,,
Montgomery,105666,Registered Family Home,Emily Yates,Germantown,20876,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 23 2020,0,,,,
Baltimore,105528,Center,Celebree Learning Center Perry Hall,Baltimore,21236,Yes,3,Yes,3,No,3,Dec 06 2018,Nov 14 2020,0,,,,
Prince George's,105380,Center,Largo Park Early Learning Center,Largo,20774,Yes,4,Yes,4,Yes,3,Oct 25 2018,Jul 10 2020,0,,,,NECPA
Howard,105332,Center,Celebree Learning Center,Woodstock,21163,Yes,3,Yes,3,No,3,Oct 25 2018,Feb 25 2020,0,,,,
Montgomery,105189,Registered Family Home,Susanna Simmons,Silver Spring,20902,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 05 2020,0,,,,
Anne Arundel,104893,Registered Family Home,Tina Green,Severn,21144,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 08 2020,0,,,,
Baltimore City,104857,Registered Family Home,Shana Pittman,Baltimore,21213,Yes,0,No,,No,,,Jun 10 2015,0,,,,
Baltimore City,104804,Registered Family Home,Monica Hestick,Baltimore,21213,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 11 2020,0,,,,
Baltimore,104653,Center,Play Centers at Elmwood Elementary School,Baltimore,21206,Yes,3,Yes,3,No,1,Dec 19 2018,Nov 05 2020,0,,,,
Prince George's,104487,Registered Family Home,Jennifer Brown-Johnson,Springdale,20774,Yes,1,Yes,1,No,2,Dec 05 2018,Oct 09 2020,0,,,,
Prince George's,104344,Center,Perrywood Elementary BASCP,Upper Marlboro,20774,Yes,2,Yes,2,No,1,Oct 25 2018,Jan 29 2020,0,,,,
Baltimore City,104283,Center,Cenna Byers Universal Child Care,Baltimore,21216,Yes,1,Yes,1,Yes,3,Oct 25 2018,May 15 2020,0,,,,
Allegany,104274,Registered Family Home,Karla Morgan,Frostburg,21532,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 28 2020,0,,,,
Baltimore City,104122,Registered Family Home,Danielle Medley,Baltimore,21213,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 01 2020,0,,,,
Baltimore,104088,Registered Family Home,Darlene Young,Gwynn Oak,21207,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 02 2020,0,,,,
